pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,run
ETH/USDT,9.66672,9.66672,0.0028,2025-01-07 15:45:00+00:00,2025-01-11 21:25:00+00:00,3452.4,3318.31,0.001,0.001,6100,-0.0407600482920757,-0.39440999,exit_signal,34.53,-0.99,34.53,-0.99,3158.0,3491.7,False,,1.0,False,1736264700000,1736630700000,"[{'amount': 0.0028, 'safe_price': 3452.4, 'ft_order_side': 'buy', 'order_filled_timestamp': 1736264700000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.676386719999998}, {'amount': 0.0028, 'safe_price': 3318.31, 'ft_order_side': 'sell', 'order_filled_timestamp': 1736630700000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.300559267999999}]",0.0,5,baseline_train
TRX/USDT,9.9528,9.9528,42.9,2025-01-12 22:30:00+00:00,2025-01-14 09:50:00+00:00,0.232,0.2266,0.001,0.001,2120,-0.0252273588480485,-0.25133394,exit_signal,0.0024,-0.99,0.0024,-0.99,0.2168,0.2373,False,,1.0,False,1736721000000,1736848200000,"[{'amount': 42.9, 'safe_price': 0.232, 'ft_order_side': 'buy', 'order_filled_timestamp': 1736721000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.962752799999999}, {'amount': 42.9, 'safe_price': 0.2266, 'ft_order_side': 'sell', 'order_filled_timestamp': 1736848200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.730861139999998}]",0.0,1,baseline_train
TRX/USDT,9.93432,9.93432,42.6,2025-01-19 22:10:00+00:00,2025-01-20 06:50:00+00:00,0.2332,0.2367,0.001,0.001,520,0.01298058716583588,0.12908226,exit_signal,0.0024,-0.99,0.0024,-0.99,0.2241,0.2392,False,,1.0,False,1737324600000,1737355800000,"[{'amount': 42.6, 'safe_price': 0.2332, 'ft_order_side': 'buy', 'order_filled_timestamp': 1737324600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.944254319999999}, {'amount': 42.6, 'safe_price': 0.2367, 'ft_order_side': 'sell', 'order_filled_timestamp': 1737355800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 10.09350342}]",0.0,0,baseline_train
BNB/USDT,9.36124,9.36124,0.014,2025-01-26 23:10:00+00:00,2025-01-27 20:55:00+00:00,668.66,672.8,0.001,0.001,1305,0.004181114850214243,0.03917956,exit_signal,6.69,-0.99,6.69,-0.99,637.79,673.44,False,,1.0,False,1737933000000,1738011300000,"[{'amount': 0.014, 'safe_price': 668.66, 'ft_order_side': 'buy', 'order_filled_timestamp': 1737933000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.37060124}, {'amount': 0.014, 'safe_price': 672.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1738011300000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.428619199999998}]",0.0,0,baseline_train
TRX/USDT,9.94201,9.94201,40.3,2025-01-26 23:35:00+00:00,2025-01-27 21:20:00+00:00,0.2467,0.2465,0.001,0.001,1305,-0.0028070834718585025,-0.02793596,exit_signal,0.0025,-0.99,0.0025,-0.99,0.2323,0.2471,False,,1.0,False,1737934500000,1738012800000,"[{'amount': 40.3, 'safe_price': 0.2467, 'ft_order_side': 'buy', 'order_filled_timestamp': 1737934500000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.95195201}, {'amount': 40.3, 'safe_price': 0.2465, 'ft_order_side': 'sell', 'order_filled_timestamp': 1738012800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.943883949999998}]",0.0,0,baseline_train
TRX/USDT,9.92993,9.92993,48.7,2025-02-03 02:10:00+00:00,2025-02-06 06:20:00+00:00,0.2039,0.2275,0.001,0.001,4570,0.11351375451424495,1.12831082,exit_signal,0.0021,-0.99,0.0021,-0.99,0.2036,0.23,False,,1.0,False,1738548600000,1738822800000,"[{'amount': 48.7, 'safe_price': 0.2039, 'ft_order_side': 'buy', 'order_filled_timestamp': 1738548600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.939859929999999}, {'amount': 48.7, 'safe_price': 0.2275, 'ft_order_side': 'sell', 'order_filled_timestamp': 1738822800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 11.09032925}]",0.0,3,baseline_train
ETH/USDT,9.805026,9.805026,0.0042,2025-02-03 02:10:00+00:00,2025-02-12 22:30:00+00:00,2334.53,2770.04,0.001,0.001,14180,0.1841807368065024,1.80770281,exit_signal,23.35,-0.99,23.35,-0.99,2324.79,2921.0,False,,1.0,False,1738548600000,1739399400000,"[{'amount': 0.0042, 'safe_price': 2334.53, 'ft_order_side': 'buy', 'order_filled_timestamp': 1738548600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.814831025999998}, {'amount': 0.0042, 'safe_price': 2770.04, 'ft_order_side': 'sell', 'order_filled_timestamp': 1739399400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 11.645802167999998}]",0.0,2,baseline_train
TRX/USDT,10.05786,10.05786,42.6,2025-02-12 04:30:00+00:00,2025-02-18 23:35:00+00:00,0.2361,0.2392,0.001,0.001,9785,0.01110579382498061,0.11181222,exit_signal,0.0024,-0.99,0.0024,-0.99,0.2301,0.2476,False,,1.0,False,1739334600000,1739921700000,"[{'amount': 42.6, 'safe_price': 0.2361, 'ft_order_side': 'buy', 'order_filled_timestamp': 1739334600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 10.067917859999998}, {'amount': 42.6, 'safe_price': 0.2392, 'ft_order_side': 'sell', 'order_filled_timestamp': 1739921700000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 10.20010992}]",0.0,1,baseline_train
BTC/USDT,9.79,9.79,0.00011,2025-02-25 07:35:00+00:00,2025-03-02 16:40:00+00:00,89000.0,91614.35,0.001,0.001,7745,0.0273180262026023,0.26771092,exit_signal,890.01,-0.99,890.01,-0.99,78258.52,91806.79,False,,1.0,False,1740468900000,1740933600000,"[{'amount': 0.00011, 'safe_price': 89000.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1740468900000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.79979}, {'amount': 0.00011, 'safe_price': 91614.35, 'ft_order_side': 'sell', 'order_filled_timestamp': 1740933600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 10.0876560785}]",0.0,6,baseline_train
TRX/USDT,10.2786,10.2786,44.4,2025-03-03 19:15:00+00:00,2025-03-08 07:25:00+00:00,0.2315,0.2495,0.001,0.001,6490,0.07560042549243412,0.7778436,exit_signal,0.0024,-0.99,0.0024,-0.99,0.2267,0.2496,False,,1.0,False,1741029300000,1741418700000,"[{'amount': 44.4, 'safe_price': 0.2315, 'ft_order_side': 'buy', 'order_filled_timestamp': 1741029300000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 10.2888786}, {'amount': 44.4, 'safe_price': 0.2495, 'ft_order_side': 'sell', 'order_filled_timestamp': 1741418700000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 11.088877799999999}]",0.0,5,baseline_train
